start	end	text
0	6000	Культура Англии
30000	32060	Но обо всем по порядку.
32820	34800	Начнем с этикета.
36640	40840	Английский этикет – это воплощение строгости и официальности.
41460	46040	Именно в этой стране зародилось понятие «истинном джентльмени».
46040	51000	Только джентльмен в третьем поколении может носить почетное звание «истинного».
51780	57000	Если, например, вы сами обладаете безупречными манерами, у вас отличное образование,
57000	61100	но ваш дедушка пренебрегал правилами хорошего тона,
61560	67000	то, увы, в Англии вас ни за что не признают «истинным джентльменом».
69660	75000	Еще жители Альбиона ценят время, а потому неотступно следуют строгому распорядку.
76080	81080	Английский этикет не позволяет опаздывать даже к обеденному столу в собственном доме.
81080	88380	Английская культура поведения не предполагает постоянных рукопожатий.
89000	90860	Они уместны только при знакомстве.
91420	95080	Кроме того, английский этикет запрещает целовать руку женщины
95640	99560	и делать ей комплименты в присутствии посторонних лиц.
101560	105080	В Англии любят шутить, поэтому на юмор в этой стране не обижаются.
106340	108740	Помните об этом во время поездки в Англию.
108740	114880	Если отрицательно отреагируете на розыгрыш, вас сочтут невоспитанным и злым человеком.
117560	122700	Ну что ж, культурой сыт не будешь. Пора поговорить и о кухне.
124660	130780	Чай. Культовый напиток в национальной кухне Великобритании в целом и Англии в частности.
130780	142920	Знаменитая фраза из популярного телесериала «Овсянка, сэр» в действительности не имеет никакого отношения к традиционному английскому завтраку.
142920	151800	Традиционно английский завтрак состоит из жареных сосисок, которые не имеют ничего общего с привычными для нас сосисками.
151800	165960	Двух полосок жареного жирного бекона, яичницы глазуньи, свежих или консервированных помидоров, жареных шампиньонов, посоли в томатном соусе, поджаренных тостов, намазанных толстым слоем сливочного масла.
165960	170980	К этому разнообразию добавляется бутылка кетчупа внушительных размеров.
171420	176040	Все продукты укладываются на большую тарелку и имеют контрастную цветовую гамму.
176480	187220	Посередине ярко-желтое с белым окамлением глазуньем, а красные помидоры, почти черные сосиски и векон, розовая фасоль и золотистого цвета тосты вокруг нее.
187980	194480	В качестве напитка к такому сытному разнообразию подается чай с молоком, кофе или апельсиновый сок.
195960	205100	Традиционные английские блюда содержат много
205100	225920	Мясо, птицу, пресноводную и морскую рыбу.
225920	231100	Пришло время поговорить и об архитектуре.
231760	237580	Уже 900 лет на берегу Темза стоит Таур, крепость, ставшая очередным символом Лондона.
238240	244280	В разные времена тут был и монетный двор, и сокровищница, и обсерватория, и даже зверинец.
244280	246700	Но по-настоящему Таур знаменит.
248040	249000	Как тюрьма.
249580	253460	В Тауре казнили и пытали с особой изощренностью.
253460	261760	Сейчас, правда, в нем не чувствуется кровавое прошлое.
262120	265080	Теперь он стал туристической достопримечательностью.
265480	267720	Но одно остается неизменным.
267720	273820	Это шесть черных королевских воронов.
