start	end	text
0	3980	Представьте, если вы отправитесь в Англию на год по учебе или работе.
4340	8560	Естественно, вам придется столкнуться с традициями и обычаями данной страны.
9020	10520	И что же вы будете делать?
10720	17740	И сегодня вы получите небольшую инструкцию, что делать в Англии и как там праздновать все остальные праздники.
17900	22240	Итак, с вами сквозь времяисторический блог-подкаст.
22740	27020	И первым делом, что вы должны, конечно же, сделать, это подписаться на данный канал
27020	30520	и поставить колокольчик, чтобы знать, когда выйдут выпуски.
30640	34040	И спасибо всем, кто смотрит выпуски.
34120	38400	И, кстати, да, у нас тут Крафт Дракула набирает космические обороты по просмотрам.
38460	40880	Поэтому спасибо каждому. Это очень круто.
41400	44960	Дальше больше, и выпусков будет еще больше и интереснее.
45080	46220	Итак, поехали.
46820	50920	Тема нашего сегодняшнего выпуска – это традиции и праздники Англии.
51180	55360	Но хотелось бы сперва начать немножечко поговорить про Англию.
55360	62940	Ну, какие у них, какой у них темперамент, как это выявляется, как это отображается у нас в традициях.
63000	63660	Итак, начнем.
64280	71140	Англичане – один из немногих народов в мире, который пользуется необъяснимым уважением окружающих.
71640	76480	Как бы ни посмеивались над свойствами, да и особенностями их характера,
76840	83320	тайное почтение пробивается через любую насмешку, критику или откровенную враждебность.
83320	86080	Яркий пример – английский юмор.
86120	88900	Я даже думаю, что вы все слышали такое выражение.
89400	95040	Понять его не может никто, особенно в самом ярком его проявлении.
95140	100320	А в них самое главное, что они любят – это любовь к каким-то физиологическим шуткам.
101000	106040	И такая вот изысканная ирония Бернарда Шоу или Оскара Уайлда.
106040	107120	Понятно всем.
107380	116020	А вот падающие брюки или туалетные остроты, какие-то непримерные намеки на разного рода сальности
116020	124960	и неприличности, например, мистера Бина или Бенни Хилла, вызывают у остальных народов какое-то нескрываемое недоумение.
125460	129040	И да, кстати, интересно, напишите, смотрели ли вы мистера Бина, да?
129040	134580	Потому что его специфический иногда юмор достаточно казался странным, но это хотя бы было смешно.
135000	140720	Итак, но тут у нас еще срабатывает такой эффект, который называется «новое платье короля».
140720	141260	Что это значит?
141380	149200	То есть никто не может поверить, что король как бы голый, и все подозревают, что он просто чего-то не прочувствовали,
149300	155980	например, в таком тонком английском юморе, а поняли иногда все эти шутки в меру своей испорченности.
155980	162560	Еще что касаемо Англии. Англия, пожалуй, единственная страна, как бы сейчас странно для вас этого не было,
162940	166960	которая не хочет быть Европой. Вы скажете, что это за бред, да?
167780	174400	Итальянцы, например, и испанцы, они тайно комплексуем мечтают приобщиться к этому славному званию, да?
175020	180400	Восточные европейцы хотят того же и очень так же шумно и агрессивно.
180400	185940	Немцы делают вид, что они-то и есть вообще-то Европой самый главный, кто тут находится,
186060	189000	хотя в глубине души даже не слишком в этом уверены.
189640	195920	Скандинавы же, например, они живут в своем мире и даже не рассчитывая на эту, как говорится, честь.
196300	202060	И только англичане последовательно отказывают от подобной привилегии,
202060	208600	всячески, то есть отделяя себя от всего мира и не входя ни в какое объединение.
208720	214040	Они хотят, как бы, быть сами по себе, и это им, по сути, удается.
214220	219780	Они знают, что они есть и самая великая страна, своего рода пуп Вселенной, да?
220240	224020	И ведь даже нулевой меридиан проходит именно по их территории.
224020	230500	Но нередко нам приходится слышать, что англичане крайне гостеприимны и доброжелательны.
230600	235320	Да, еще, может быть, даже про русских иногда там слышим, что русские очень гостеприимны.
235360	237060	Но это уже немножечко про другое.
237720	239840	И касаемо англичан, это действительно так.
239840	246380	Так, спросите даже на ломаном английском на улице, там, любого города Англии,
246500	249940	даже такого-то, такого равнодушно-космобилитичного, как Лондон,
250260	251980	как попасть в какое-то нужное место, да?
252100	254160	И вам подробно все это расскажут.
254540	258780	Могут даже отвезти, куда надо, покажут на карте еще.
259080	263280	Еще на прощание в соответствии именно с их языковой традицией
263280	266760	обращение скажут ласково dear либо love.
266760	269620	Ну, естественно, вам никто там в любви не признается.
270280	272860	И о какой-то там страсти вспыхнувшей к вам нет.
272980	276600	Это просто истакт то, что принято в их языковом обороте.
277120	282080	Однако же подобная вежливость отнюдь не уменьшает их чувство
282080	284340	такого национального превосходства,
284860	289140	не чувство предупреждения там перед всеми иностранцами, да?
289460	292980	Иногда мы слышим такое понимание, как чопорные англичане, да?
292980	297880	То, что они такие какие-то суровые, достаточно холодные.
297880	300900	И, ну, иногда, конечно же, бывает, это связывает с климатом.
301640	304700	Что касаемо английского характера, да?
305320	311380	Он является, с одной стороны, едва ли не самым противоречивым и парадоксальным
311380	313640	среди всех европейских народов.
313820	320300	Почти все его особенности имеют и прямо какие-то противоположные, получается, свойства.
320300	327400	А с другой стороны, очень цельным и определенным прослеживаются на протяжении многих столетий.
327920	333300	Его особенности чаще всего как раз объясняются островным положением страны.
334220	338160	Даже термин такой появился, как «островная психология».
338160	343280	Но вы сейчас мне скажете, ну что, кроме Англии, у нас там островов больше нет в мире, да?
343360	344620	Англии же не единственные, да?
345040	348360	Островов очень много, но Англия у нас одна такая.
348980	355180	И, видимо, понадобилось сочетание многих фактов, там, смешение в едины целых разных народов,
355240	360140	таких как бриты, пикты, кельты, англосаксов и многих других.
360140	367680	Сразу скажу, что, может быть, даже сделаю выпуск про становление Англии, как она пошла и касаемо народов.
367740	373660	Да, это будет очень такая больше углубленная версия, там, подкаста, либо, там, видеоверсии.
374220	376280	Но я думаю, что это тоже будет интересно.
376820	382740	Итак, вся вот эта вот компашка, она была заправлена римским и такими нормандскими завоеваниями
382740	387800	и сдобрена вот так вот тесными связями с какими-то континентальными народами.
387800	395520	И удобрена победами и завоеваниями, и приправленная как-то вот климатом и географическим положением,
395660	400800	чтобы появился этот народ столь не похожий на других европейцев.
401500	409760	Одной очень из ключевых особенностей английского характера как раз является приверженность традициям.
409920	413600	То есть многие называют эту черту консерватизмом, да?
413600	422360	И действительно стремление вот сохранить в своем неком первозданном виде особенности быта, поведения,
422480	428180	какие-то ритуалы, там, привычки, порой, которые могут довести быть до абсурда, да?
428580	435720	То есть современный какой-то не английской точки зрения отличает англичан, получается, от большинства других народов.
435720	446960	И подвергается этим, вот этим всем какой-то резкой критикой, и одновременно делает их очень туристически привлекательным для всего остального мира.
447420	455560	Ну, если я вам скажу про правый руль или там и левостороннее движение, как бы вы скажете, мы-то как бы знаем, что в Англии это есть.
455560	465480	Здесь же существует запрет, сейчас вы очень сильно удивитесь, на замену окон и дверей в старых домах, в старых именно,
466080	472000	что заставляет всю страну обходиться без стеклопакетов, что очень часто холодно, но терпимо.
472000	480160	И, может быть, вы, если смотрели какие-то фильмы, сериалы, которые снимались в Англии, и они их съемки проходили в каких-то старых домах,
480240	485640	там заметно было, что там обычно либо камин, либо еще что-то, и то, что в доме холодно.
485800	487140	Это, конечно же, связано с этим.
487760	498320	Гораздо больше неудобства доставляет английская сантехника, да, которая вызывает бесконечное удивление у посторонних пользователей.
498320	507300	В трудном понятии, как кому-то может быть удобно умываться по двумя раздельными кранами, раздельными, да, с горячей и холодной водой.
507720	511900	Но еще можно представить, что вы набираете воду там в раковину и в ней плещетесь дома.
511900	516440	Но уже совсем непонятно такое разделение даже в местах общественного пользования.
516620	519540	Желание там плескаться в этом случае пропадает, конечно же, на совсем.
520300	527480	Сами же англичане, они интуитивно чувствуют очень глубокую связь между формой и вот содержанием.
527480	531260	Поменяя одно, неизменно поменяется, например, и другое.
531820	536620	Сохранение двух кранов, цепочек там на унитазе, правого руля в конечном счете,
536740	543740	это обеспечивает им такую национальную целостность и защищает особенности их характера
543740	546460	вот в условиях вот этой огромнейшей тотальной глобализации.
547200	552560	И одновременно с этим нет более неформального общества, чем английское, да.
552560	559820	Мы скажем, что они же консерваторы, какое здесь неформальное общество, опять же, сочетание несочетаемого, очень даже все странно.
560320	563980	И в этих случаях, конечно, это все допускается даже традицией.
564060	570680	Смотрите, вы можете надеть самый немыслимый наряд, сделать какую-то невообразимую прическу,
570760	576260	вести себя самым странным образом и быть уверенным, что никто из англичан не обратит на вас внимания.
576260	581120	Во-первых, потому что это страна чудаков и каких-то эксцентричных людей.
581600	585300	Во-вторых, потому что здесь каждый свободен делать то, что ему захочется,
585320	590020	если это, конечно, не идет в разрез с какими-то традиционными неписанными условиями.
590520	599900	Ну и, наконец, потому что сдержанность, самоконтроль и молчаливость считаются одним из основных жизненных правил англичан.
599900	610560	Портрет типичного представителя английского народа нарисовал Достоевский, который писал поездку на поезде в Париж.
610760	612140	Что он писал? Следующее.
612640	622000	Слева сидел чистый кровный англичанин, рыжий, с каким-то английским пробором на голове и усиленно серьезный.
622000	628380	Он во всю дорогу не сказал ни с кем из нас ни слова, ни маленького словечка, ни на каком языке.
628760	631100	Днем читал, не отрываясь, какую-то книжку.
631600	638080	И как только стало 10 часов вечера, немедленно снял свои сапоги, надел туфли.
638700	645280	Вероятно, так как заведено у него было всю жизнь и менять своих привычек он не хотел и даже в вагоне.
645280	654660	И смотрите, сдержанность и контроль над своими его чувствами, часто принимаемым, грубо говоря, за простую холодность, про которую я уже вам говорила,
655120	659920	это таковы жизненные принципы этого маленького, но очень гордого народа.
659920	671020	В тех случаях, когда представитель такого сентиментальной латинской расы или душевнославянской будет рыдать, слезами восхищаться или умиляться,
671520	678240	англичане скажут «Лавли, мило», и это будет равноценно по силе проявлений всех своих остальных чувств.
679020	685420	Следующее, что хотелось бы с вами разобрать, это чувство национального самосознания.
685420	693660	Исторически сложилось, что иммигранты всегда казались некоторыми людьми, угрозой британцам,
693840	698460	такой моральной британской угрозой, социальным, каким-то культурным ценностям,
698580	701840	чьего присутствие может радикально изменить все общество.
702280	708620	Однако этот взгляд совершенно упускает из виду трудности определения британских норм в разные периоды истории.
708620	716280	В Великобритании иммигранты, конечно, в определенной мере изменили общество и отношения внутри его.
716800	722820	Но британские острова всегда были населены различными культурами.
723240	727620	Итак, существует множество различий между четырьмя нациями.
727800	731620	Это Англия, Уэльс, Шотландия и Ирландия.
731620	735120	А также разнообразие культур внутри самих этих стран.
735640	740460	Такое многообразие своих культур и присутствие сообщества мигрантов
740460	744760	ставит под вопрос значение определения типично британский.
745200	751580	Типично британское поведение приписывается всему населению британских островов с 1070 года,
751660	753580	когда была образована Великобритания.
753580	764580	С тех пор в это понятие вкладывается стабильность, централизованность института управления без ущерба для сложившихся национальных традиций.
765560	773660	Но история британских островов до начала 18 века представляет собой не историю единого государства,
773800	781560	а историю четырех совершенно различных стран и их народов, которые нередко воевали даже друг с другом.
781560	787400	Народы нынешнего Соединенного Королевства сохранили важные национальные и культурные различия.
787860	794820	Политические термины, такие как британский и британия, кажутся весьма искусственными для многих из них.
795440	801640	Иностранцы часто называют британцев англичанами и нередко с трудом различают британские культуры
801640	807560	и не замечают раздражения такого неанглийского населения, связанного с таким обращением.
807560	814260	Шотландцы, Уэльсцы и Северные Ирландцы в основном являются потомками кельтов,
814960	819280	в то время как англичане являются потомками англосаксов.
819760	825500	Критики замечают, что многие жители Великобритании не считают себя британцами
825500	833300	и считают, что необходимо радикально пересмотреть этот термин в свете такой мультинациональной и многорасовой страны.
833300	839980	Конечно же, за века эти четыре нации в какой-то мере перемешались между собой,
840080	845420	чему способствовали группы иммигрантов, пребывающие весьма какими-то неравномерными волнами.
846020	851440	Были созданы единые политические, какие-то общественные, государственные системы,
851500	856560	в результате чего все жители островов стали ощущать себя все равно единым народом.
856560	866420	Однако британцев часто путают с англичанами, потому что, во-первых, англичане – самый многочисленный из народов на территории Великобритании,
866960	875100	и, во-вторых, объединение более малочисленных шотландцев, ирландцев и уэльсцев произошло именно под английской короной.
875560	882560	И еще самое главное, в-третьих, потому что вся государственная власть сконцентрировалась именно в Англии,
882640	885080	точнее ее юго-восточной части.
885080	895220	Получается, что господствует национализм англичан, да они сами не видят какой-то особой сильной разницы в определении себя британцами или англичанами.
895780	901040	Представители же народов других всегда разграничивают свой народ и Великобританию.
901040	918820	В общем, как правило, не терпят господства и влияния англичан, и считают себя совершенно отличными от них, и предпочитают создавать себя шотландцами, уэльсцами, ирландцами, но никак не британцами.
