start	end	text
0	7560	Добрый день, уважаемые студенты! Сегодня мы начинаем вторую лекцию, которая называется
7560	13440	«Исторический обзор Соединенного Королевства». В этой лекции мы должны с вами рассмотреть
13440	21900	историю Англии, а также и основные даты британской истории. Итак, первый вопрос — это исторический
21900	27920	обзор Англии, Шотландии, Уэллс, Северная Ирландия. История Англии началась вторжением германских
27920	34640	племен англов, саксов, ютов, фризов и созданиями именно территории Британии нескольких ранее
34640	40080	феодальных государств. История же самой Британии началась гораздо раньше, с появлением на острове
40080	50980	первых людей современного типа после окончания последнего оледенения в эпоху Мезолита. С 9-8 веков
50980	57160	до нашей эры в Британию активно переселялись кельты, которые сами в первом веке уже нашей эры
57160	62760	оказались под контролем римлян. Римское владычество закончилось примерно в 410 году,
63400	69060	и вторгшиеся волнами англосаксы сформировали здесь семь своих королевств, которые затем
69060	75400	объединились в одно королевство Англии и стали главными правителями этих земель, кроме территории
75400	84200	Уэллса и Шотландии. Периодические рейды викингов участились с 9 века, и в начале 9 века
84200	91480	Англии возили даже датские короли. В 1066 году в Англию вторглись отряды норманов и завоевали
91480	97360	страну. На протяжении средних веков Англия прошла через множество гражданских войн и битв с другими
97360	103880	европейскими народами. В эпоху Ренессанса Англия управлялась династией Тюдоров. В 12 веке Англия
103880	108880	завоевала Уэллс, а в начале 18-го объединилась в союз Шотландии, сформировав королевство
108880	114120	Великобритании. Во время индустриальной революции Великобритания управляла огромной империей,
114620	119680	имея владение на всех континентах. Но если в территориальном отношении от этой империи мало
119680	125960	что осталось, то ее культурное влияние глубоко и широко распространилось во многие страны.
125960	133560	Первое заселение Британии людьми, как я уже сказала, относится ко времени после последнего
133560	141000	ледникового максимума, к самому началу каменного века, к Палеолиту. Но мы с вами рассмотрим,
141760	149540	начнем рассматривать историю Англии с первого века до нашей эры, когда Юлий Цезарь предпринял два
149540	157080	похода в Британию. Это произошло в 55-м и в 54-м году до нашей эры. Систематическое завоевание
157080	164080	Британии Римом началось в 43-м году уже нашей эры и завершилось в основном к концу 60-х годов.
164440	170900	Британия стала одной из окраинных провинций Римской империи. Романизации подверглись главным
170900	177500	образом южная, восточная и отчасти центральная области. Запад и север почти не были ей затронуты.
177500	183940	Среди местного населения часто поднимались восстания. Завоевание было закреплено системой
183940	191640	укрепленных пунктов и военных дорог. Вдоль северных границ были сооружены римские валы и,
191740	197000	ускорив процесс социальной дифференциации, завоевание не привело к коренным изменениям в
197000	203960	кельтском обществе. Кризис Римской империи сказался и на судьбах Британии. С конца 3-го века начались
203960	209420	набеги саксонских племен. В начале 5-го века римское владычество в Британии прекратилось.
209960	216240	Британия снова распалась на ряд независимых областей. После ухода римлян большая часть острова
216240	222640	была завоевана в 5-м веке племенами англов, саксов, ютов. Как я уже говорила в начале,
222720	229560	им были образованы семь крупных королевств. И впоследствии эти королевства объединились в единое
229560	237860	королевство Англию. Король Уэссекса Альфред Великий I стал называть себя королем Англии. Его
237860	246960	правление относится к 1871-1899 годам. С конца 8-го века на Англию стали нападать викинги и даже
246960	253140	временно захватили некоторые из ее северных и восточных областей. Часть первой половины 11-го века
253140	260980	Англии правили датские короли. Наиболее известные из них это Свен Вилобородой и Кнут Великий.
261600	268020	В 1042 году престол вернулся к саксу Эдуарду-исповеднику. Но вскоре после его смерти в Англию
268020	274180	успешно вторглись норманы под предводительством Вильгельма-завоевателя, победив саксов в битве
274180	283520	при Гастингсе, которая произошла 14 октября 1066 года. С воцарением нормандского дома в Англии
283520	289900	настала эпоха глубоких внутренних перемен. Вильгельм-завоеватель, который правил страной с 1066
289900	297940	года по 1087 год, утвердил собранное при Эдуарде общее право англосаксов, но в то же время для
297940	304260	укрепления своего политического могущества ввел в феодальную систему. Англосаксонские обычаи
304260	310280	сделались предметом презрения при дворе и даже в официальных актах введены французские нравы и язык.
310640	316400	Все это вызвало восстание не только англичан, но и норманов, которые подавлялись с величайшей
316400	324060	жестокостью, разорением городов и общин. Соединение Англии с Нормандией едва ли могло считаться
324060	329320	прекращением ее политического могущества, так как оно повлекло за собой распри в королевской
329320	335360	семье, а также распри с Францией, которые продолжались в течение многих столетий. Старший
335360	341240	сын Вильгельма Роберт удержал за собой Нормандию. Английская корона досталась второму сыну
341240	353020	Вильгельма, Вильгельму Рыжему, который правил после отца с 1087 года по 1100 год. Завоевательное
353020	358340	стремление этого короля, в особенности желание его снова завладеть Нормандией, вовлекли государство
358340	366620	в тяжкие войны. Немало смут было порождено также спором короля с папой Урбаном II и архиепископом
366620	376380	Ансельмом из-за введения архиепископа в Сан. Спор окончился победой короля, и Ансельм был вынужден
376380	382900	искать спасение в бегстве. Но своим деспотическим и вроломным характером Вильгельм возбудил к себе
382900	388600	народную ненависть, и однажды его нашли в лесу со стрелой в груди. Престолом завладел младший
388600	396140	брат его Генрих I по прозвищу ученый, который правил страной в течение 35 лет, устранив таким образом
396140	402680	старшего брата Роберта, который находился в это время на пути из Палестины, возвращаясь из
402680	408240	своего первого крестового похода. Чтобы найти опору в народе, он издал хартию, в которой обещал
408240	414800	восстановить законы Эдуарда и Вильгельма Завоевателя и облегчить многие повинности. Роберт пытался
414800	420280	восстановить свои права на английский престол с оружием в руках, но при посредничестве вернувшегося
420280	426720	на родину архиепископа Ансельма, братья заключили между собой соглашение, по которому Роберт удержал
426720	433740	Нормандию. И вскоре Генрих нарушил договор, начал войну против Роберта, захватил его в плен,
433840	439240	заточил в тюрьме, где он и умер. Нормандия осталась за Англией, несмотря на сопротивление
439240	446280	французского короля Людовиков VI. Спор с папой тоже был окончен, и Генрих признал за папой
446280	453140	право инвеституры в английской церкви. Впрочем, королевская власть очень мало потеряла от этого,
453140	458700	так как единственный сын Генриха погиб во время кораблекрушения. Из согласия баронов
458700	465360	наследницей престола была объявлена его дочь Матильда, бывшая в то время во втором браке за
465360	472480	Жифруа Плантагенетом, графом Анжуйским. Но после Генриха престолом завладел Стефан,
473080	479540	сын сестры Генриха и графа Блуа. Это повело к междоусобию, которая сопровождалась спорами
479540	486480	короля с духовенством и набегами шотландцев и жителей Уэллса. В 1153 году сын Матильды,
486760	493180	будущий Генрих II, высадился в Англии, и так как в это время Стефан лишился своего старшего сына,
493560	498980	а младший не собирался наследовать отцу, то соперники заключили между собой мирный договор,
498980	508720	по которому Генрих II был объявлен наследником престола. И с 1154 года начинается царствование
508720	518920	Плантагенетов или же Анжуйского дома. Генрих II, который зашел на престол в 1154 году и правил до
518920	528120	1189 года, считался первым королем из дома Плантагенетов и нашел страну во власти баронов. Благодаря
528120	535860	могущество своего дома, овладевшего одной третьей Франции, он возвратил короне некогда принадлежавшие
535860	543440	ей поместья французские и представил баронам право выкупать свои ленные обязанности за определенную
543440	549200	денежную дань. Это дало короне возможности и право ввербовать независимую армию, состоявшую
549200	555220	преимущественно из нидерландских искателей приключений, так называемых барабансонов.
555220	564060	Правосудие подверглось в это царствование коренному изменению. Вся страна разделена была на
564060	570120	шесть судебных округов и учрежден Королевский суд. Города и корпорации получили важные льготы,
570260	575620	которые способствовали их благосостоянию. Во всех этих реформах Генрих нашел себе деятельного
575620	581940	помощника и советника в лице Томаса Беккета, которого сделал сначала своим канцлером,
581940	591420	потом архиепископом кентерберийским, но с которым потом рассорился и в вопросах правления.
592280	599240	В 1171 году Генрих покорил Ирландию и вел неанглийские учреждения. С этого времени английские
599240	605900	короли приняли титул владельник Ирландии. В последующие годы своей жизни Генрих испытал много
605900	611580	горя в своей собственной семье. Недовольные своими уделами и подстрекаемые матерью против него
611580	619020	восстали его старшие сыновья и нашли поддержку со стороны многих баронов, а также королей французского
619020	628280	Людовика VII и шотландского Вильгельма. Когда новый король французский Филипп II Август предъявил
