start	end	text
0	9000	Добрый день, уважаемые студенты. Сегодня мы продолжаем цикл лекций по страновидению Великобритании.
9000	15960	И как поняли вы из предыдущих лекций, Великобритания это страна с древней и сложной интересной
15960	21360	историей, изучение которой может занять годы и даже целую жизнь. Тем, кто учится английский,
21360	25920	ему важно иметь общее представление о становлении и развитии Родины этого языка.
25920	34200	Поэтому мы с вами вкратце знакомимся и продолжаем знакомиться с историей Великобритании.
34200	45600	Предыдущая лекция у нас закончилась в 1800 году, когда в правлении Георга III Великобритания подавила
45600	53340	междоусобную войну в Ирландии и присоединила ее к Сиапаакту Абунии 1800 года. В результате
53340	61620	образовалось Соединенное Королевство Великобритании и Ирландии. После Георга III престол занял его сын и регент Георг IV.
61620	69000	В его царствовании в Великобритании закончились промышленный переворот и аграрная революция, в результате
69000	77100	которых страна вышла на новый уровень. В 1825 году Великобритания построила первую в мире железную дорогу из
77100	84240	Ливерпуля в Манчестер. Единственная дочь Георга IV, популярная в народе Шарлотта Уэльская,
84240	90840	рано умерла во время родов. Других наследников не было, так как братья короля были не женатыми,
90840	97380	а сестры бездетными. Чтобы продолжить династию, Георг IV пообещал своим братьям щедрое финансовое
97380	104180	вознаграждение, если они женятся и родят наследника. Принцы спешно нашли жен, и в одном из этих
104180	116140	браков родилась принцесса Виктория Кенская, впоследствии ставшая королевой. После смерти Георга IV власть
116140	122460	перешла к его младшему брату Вильгельму IV. Он процарствовал всего семь лет и умер, не оставив
122460	130780	наследников. Законные дети у него умерли еще в детстве. В 1837 году королевой стала его племянница
130780	138600	Виктория, дочь принца Кенского Эдуарда, который приходился четвертым сыном безумного короля Георга
138600	146160	III. Виктория взошла на трон в возрасте 18 лет. К тому времени Великобритания превратилась в
146160	152100	конституционную монархию с ограниченной властью короля. Тем не менее, королева оказала огромное
152100	157860	влияние на развитие страны, умело управляя правительством и контролируя назначение министра.
158420	164120	При этом ее власть оставалась символической. Королева Виктория стала одним из национальных
164120	170720	символов Великобритании. В викторианскую эпоху Великобритания переживала рассвет во всех
170720	179080	областях – политической, культурной, промышленной, научной, военной. В правлении Виктории Индия
179080	186340	стала частью Британской империи. Был присоединен Кипр. Англия получила большинство акций
186340	192140	Суэцкого канала и заняла важное положение в Египте. В целом, этот период был относительно
192140	198740	мирным. В викторианскую эпоху зародился английский средний класс. Сформировался знаменитый образ
198740	205640	джентльмена и кодекс чести. В городах Великобритании появились освещения, тротуары, водопровод,
205640	212700	канализация, метро. Страна стала финансовой столицей мира. Виктория придерживалась строгих
212700	219940	моральных принципов. В 1840 году она вышла замуж по любви за саксонского принца Альберта,
220520	226960	впоследствии родив девять детей, которые укрепили связи между европейскими династиями. Королеву
226960	235040	даже назвали бабушкой Европы. После смерти мужа в 1861 году Виктория беспрерывно носила траур и не
235040	242100	появлялась на публике. Королева Виктория пробыла на троне дольше всех своих предшественников в 63
242100	249640	года. Этот рекорд удалось побить только современной британской королеве Елизавете II, которая правит
249640	261360	уже 69 лет. Королева Виктория умерла в 1901 году. На троне ее сменил сын Эдуард VII. Эдвардинская эпоха была
261360	269360	синонимом мирного времени и примерно соответствует российскому Серебряному веку. После смерти
269360	277080	Эдуарда престол занял его сын Георг V. В 1914 году Великобритания вступила в Первую мировую войну,
277520	282940	из которой вышла победительницей. После войны Георг изменил название королевского дома на
282940	290780	Винздорский и фактически начал новую династию Винздоров. В 1931 году при Георгии V было создано
290780	299080	британское содружество. Следующим королем должен был стать старший сын Георга Эдуард VIII. Но он
299080	304220	так и не был коронован. Эдуарду пришлось отказаться от престола, чтобы жениться на разведенной
304220	310460	американке Уэлис Симпсон, так как правительство Великобритании не давало согласия на этот брак.
311040	316340	После отречения престол отошел его брату Георгу VI, в правление которого Великобритания
316340	324640	вступила во Вторую мировую войну и боролась против нацистской Германии. В 1940 году новым
324640	330740	премьер-министром Великобритании стал Уинстон Черчилль, которого король с неохотой назначил вместо
330740	338880	Чемберлина. Черчилль стал одной из величайших противоречивых политических фигур XX века. Он
338880	345340	значительно повлиял на историю Великобритании и исход Второй мировой войны. Многие называют его
345340	357380	величайшим британцем в истории. В 1947-48 годах Великобритания переживала период деколонизации.
358080	366080	Индия, Бирма, колонии в Африке, океане, индийском бассейне получили независимость. В 1949 году от
366080	374900	государство отделилась Южная Ирландия. В 1952 году после смерти Георга VI на престол взошла его дочь
374900	380860	Елизавета, которая правит до сих пор. В ее правление Британская империя окончательно распалась и
380860	390400	превратилась в Содружество наций, а Великобритания вошла в Европейский Союз. В 1979 году премьер-министром
390400	397060	Великобритании стала Маргарет Тэтчер, лидер консервативной партии, которая получила прозвище
397060	405380	«Железная леди». Она укрепила британскую экономику, усилила роль страны в мире и преодолела
405380	416180	внутренний кризис 70-х годов. Тэтчер сохраняла свой пост до 1990 года.
419280	425900	Во внешней политике Маргарет Тэтчер взяла курс на дальнейшее сближение с США, особенно после
425900	432880	прихода к власти Рональда Рейгана. В 1980-е годы стали временем усиления северо-ирландского
432880	439520	терроризма. Организация, которая называлась Ирландской республиканской армией, добилась полного
439520	445780	ухода Великобритании из Северной Ирландии и усилила террористическую деятельность. Формами
445780	451600	управления данной деятельности стали провокации беспорядков в Северной Ирландии, взрывы, войны и теракты
451600	457700	на территории острова Великобритании. Несмотря на угрозы, а в адрес лично Маргарет Тэтчер,
457820	464200	она не пошла на уступки террористам. На сегодняшний день Великобритания возглавляет
464200	471160	Содружество наций, является членом НАТО, ЕС, из которого она благополучно вышла, о чем я скажу
471160	478040	чуть позже, в Большой Восьмерке, и обладает ядерным оружием, является одной из наиболее развитых
478040	487100	стран мира. По парламентским выборам, которые проходили недавно, то есть сейчас мы плавно
487100	494640	переходим в 21 век, и какие же основные события произошли за последние годы Великобритании.
495380	502920	В 2019 году в Великобритании прошли досрочные парламентские выборы. Прошли они 19 декабря,
502920	509080	и по их итогам консерваторы получили 365 мест. В последний раз такое количество мест партия
509080	516400	получила 32 года назад, во время как раз премьерства Маргарет Тэтчера. Лейбористы получили 202 места,
516580	524040	что является самым худшим результатом партии с 1935 года. Какова предыстория всех этих событий?
524480	531000	23 июня 2016 года состоялся референдум относительно членства Великобритании в Европейском
531000	540160	Союзе, на котором 51,9% избирателей изъявили желание покинуть ЕС. После этого премьер-министр Дэвид
540160	546440	Камерон ушел в отставку. Новым премьер-министром стала Тереза Мэй, которая запустила процесс выхода
546440	553600	Великобритании из Европейского Союза. В июне 2017 года прошли досрочные выборы, в результате которых
553600	561000	Мэй сохранила за собой пост главы правительства. Однако из-за проблем с Брекситом она также
561000	569200	ушла в отставку в мае 2019 года. В июле новым лидером консервативной партии был избран Борис
569200	575640	Джонсон, который также занял пост премьер-министра. Став премьер-министром, Джонсон трижды
575640	582240	предлагал провести досрочные выборы. Однако каждый раз палата община отказывала ему в этом. В итоге
582240	589640	законопроект о распуске парламента и проведении досрочных выборов был предложен либерально-демократической
589640	595820	и шотландской национальной партиями. 28 октября и на следующий день он был одобрен правительством,
596540	602940	за исключением дня проведения выборов, так как изначально предлагалось провести их 9 декабря. В итоге
602940	613840	они были назначены на 12 декабря. И окончательное решение по законопроекту было принято уже именно
613840	627000	когда прошли эти парламентские выборы. Итак, это вкратце история, которая касается страны, язык которой
627000	633780	вы изучаете. Помимо истории в данной лекции мы с вами должны еще рассмотреть два таких вопроса,
633860	640820	как государственное устройство Великобритании, национальный и социальный состав населения,
641260	649520	а также демографические и социальные проблемы, которые касаются данной страны. Поэтому следующий вопрос,
649520	654980	который мы рассмотрим, это государственное устройство Великобритании. В состав Великобритании
654980	660120	входит Англия, Уэлл-Шотландия, Северная Ирландия, как было уже сказано на первой лекции,
660240	666760	и ряд других территорий. Исторически Великобритания сложилась как уния, отсюда и полное название
666760	672460	Соединенное Королевство Великобритании и Северной Ирландии. Особенности современного
672460	680020	государственного устройства кроется именно в этом. Статус территорий, входящих в состав Великобритании,
680140	686980	различен. В последние годы обозначилась тенденция к расширению их автономии, что именуется
686980	694120	деволюцией. Решения об этом были приняты на референдумах. Содержание автономии в этих территориальных
694120	700460	образованиях также различно. Шотландия всегда обладала собственной правовой и судебной системой,
700460	707320	но несколько столетий не обладала автономия вопроса государственного управления. Однако 11 сентября
707320	715500	1997 года в Шотландии был проведен референдум, в результате которого большинство высказалось за
715500	723620	расширение самостоятельности Шотландии. После референдума соответствующий закон был принят в 1998 году.
723620	733300	В итоге были проведены выборы сначала в 1999, а затем в 2003 году. Выборы в шотландский парламент.
733800	743680	Парламент Шотландии состоит из 129 депутатов, которые избираются на 4 года. 73 человека по мажоратарной
743680	750080	системе 56 по пропорциональной. Он обладает законодательными полномочиями по вопросам
750080	754540	экономического развития, налогов, жилищного, сельского, лесного хозяйства, рыболовства,
754620	761720	окружающей среды, здравоохранения, образования, социального обеспечения и т.д. Иные полномочия
761720	766500	остаются в ведении британского парламента. Исполнительная власть осуществляется правительством
766500	772440	Шотландии, формируемым на тех же принципах, что и британское правительство, и находящимся в
772440	777920	таких же отношениях с парламентом. Для Уэллса правовая и судебная автономия характерна в значительно
777920	784500	меньшей степени, чем для Шотландии. Тем не менее, на референдуме, который состоялся 18 сентября
784500	793320	1997 года, была поддержана идея о введении определенной автономии. В качестве основного
793320	799140	обеспечивающего автономию органа выступает Ассамблея Уэллса, в которой избирается 60 депутатов,
799580	807160	из них 40 человек по мажоратарной системе, а 20 по партийным спискам. Она не наделяется
