start	end	text
0	9400	Добрый день, уважаемые студенты. Сегодня мы начинаем с вами рассматривать четвертую тему в нашем курсе.
10060	13180	И тема сегодняшней лекции – это британская монархия.
13960	17840	В этой лекции мы должны с вами рассмотреть четыре вопроса.
17960	25100	Первый вопрос – это британская монархия, дать определение понятия аристократии монархии и рассмотреть виды монархии.
25100	32060	Второй вопрос будет посвящен правящим династиям, которые были самые известные.
32560	38200	Это династия Тюдоров, династия Стюартов, Ганноверская династия и Виндзорская династия.
38740	41140	Третий вопрос – роль королевы в государстве.
41600	46100	И четвертый вопрос – это политические партии Соединенного Королевства.
47040	54160	Итак, первый вопрос – британская монархия, определение понятия аристократии монархии и виды монархии.
54160	61000	Монархия наряду с республикой является одной из двух форм правления, которой известна теория государства и права.
61300	68360	Монархия – форма правления, где высшая государственная власть принадлежит единоличному главе государства,
68440	74780	то есть монарху, который может называться королем, императором, шахом и так далее,
74780	79740	который занимает престол по наследству и несет ответственности перед населением.
79740	84460	Во всех монархических странах монархия является неприкосновенной особой.
84980	89740	Под формой правления мы понимаем систему формирования и взаимоотношения главы государства,
90820	93720	высших органов законодательной и исполнительной власти.
94380	102940	Форма правления исторически складывается в процессе борьбы и взаимодействия социальных и политических сил соответствующего государства.
102940	108820	На протяжении нескольких столетий многие выдающиеся люди описывали формы государственной власти.
109040	110680	Первым из них был Аристотель.
110760	117760	Он написал многие разновидности форм власти, но особое внимание из этих форм вызывает монархия.
118440	124640	Престол на наследие – это переход власти монарха от одного представителя царствующего дома или династии
124640	127780	к другому в установленном законном порядке.
127780	132620	В настоящее время существуют три основные системы престола наследия.
133060	139640	Это солическая система, которая сводится к тому, что наследование осуществляется только по мужской линии.
140060	143240	Женщины из круга престола наследия исключаются полностью.
143800	147360	Примером такой системы может быть Швеция.
148040	155000	Кастильская система не исключает женщин из очереди престола наследия, но отдает предпочтение мужчинам.
155000	158960	Младший брат, например, может исключить старшую сестру.
159340	161360	Такое происходит в Великобритании.
162000	170600	Австрийская система не исключает женщин, но дает мужчинам и мужским линиям преимущество во всех линиях и во всех степенях родства.
171200	178580	Женщины наследуют престол лишь при полном пресечении всего мужского потомства и всех мужских линий.
178580	187140	В некоторых арабских странах существует так называемая клановая форма престола наследия, когда наследника избирает правящая семья.
187840	190780	Другой важной формой правления является регенство.
191280	202680	Временное, коллегиальное или единоличное осуществление полномочий главы государства в монархиях в случаях продолжительной болезни и малолетства или временного отсутствия монарха.
202680	210420	В зависимости от принципа наследования власти монархия может быть династической, родовой и выборной.
210940	223800	В династической монархии действует строгий принцип, в соответствии с которым престол передается от отца к сыну или от брата к брату, как это было у нас на Руси.
224360	229980	Гораздо чаще нам встречается родовая монархия, где действовал принцип принадлежности к династии.
229980	234140	Претендент на престол должен был быть выходцем из царского рода.
234520	238100	Правда, это вовсе не означало, что он автоматически наследовал корону.
238900	244260	Особая разновидность монархии – это выборная, сочетающая элементы монархии и республики.
244860	247540	Выборная монархия была и в Византии.
247960	249580	Она не является редкостью.
249580	263240	В экваториальной Африке до сих пор совет старейшин избирает племенных королей сроком на один год, а через год этот совет вновь подтверждает или не подтверждает полномочия избранного правителя.
263240	278880	В настоящее время выборная монархия существует в Малайзии, где главой государства является монарх, который избирается на пять лет особым совещанием представителей монархических штатов, которые входят в федерацию.
278880	282800	Рассмотрим исторические разновидности монархии.
282800	298860	Монархия как форма правления весьма неоднородна, и она показала на протяжении веков свою гибкость и изменчивость, качество, благодаря которым ей удается существовать в современных, высокоразвитых, демократических государствах.
299300	300960	Рассмотрим эти разновидности.
301500	306320	Первая из них – это патриархальная монархия, которую называют иногда традиционной.
306320	316500	Она характерна для традиционных обществ и прямо происходит из развития семейного принципа, то есть традиционный монарх воспринимается как отец своих подданных.
317800	324400	Патриархальная монархия, так же как и сакральная, имеет один древний обычай – это принесение царской жертвы.
324800	329480	Царь добровольно приносит себя в жертву во имя спасения своего народа.
330180	331540	Сакральная монархия.
331540	337260	Сакральная монархия – это монархия, где первенствующие функции монарха – жреческие.
337560	340120	Она нередко связана с патриархальной монархией.
340620	347000	Из библейского и римского материала явствует, что глава патриархальной семьи был и семейным жрецом.
347600	350940	Сакральная монархия часто связана с традиционными обществами.
351340	358040	Такова сакральная монархия в Древнем и Среднем Царстве Египта, где основной функцией фараона была жреческая.
358040	363760	Деспотическая монархия. По-гречески слово «деспот» означает «владыка» – «повелитель».
363760	367300	Деспотическая монархия складывается в милитаризованных обществах.
367800	372160	Если сакральный монарх по происхождению жрец, то деспотический – генерал.
372160	383980	В деспотических монархиях мы видим реально сильную монархическую власть в сочетании с ограждением чувства собственного достоинства и прав подданных.
384260	389100	Как уже говорилось, подданные в таких монархиях – это народ или войско.
389100	402620	Классическими деспотическими монархами были ассирийский царь, армянский царь древности и раннего Средневековья, а также хан тюркский или монгольской орды – выборный деспотический правитель.
402880	411960	Впоследствии такая форма монархии выродилась в военную диктатуру, свойственную странам, где государственный переворот был совершен военными.
411960	421880	По Аристотелю искажение монархии есть тирания. Тирания – власть эгоистического правителя. Тирану свойственны жестокие методы правления.
422800	434120	И Аристотель отмечает, что тиран оказывается в некотором смысле вне общества. Ему принадлежит тезис – законного царя охраняют граждане, тирана охраняют наемники.
434120	443520	Тирания – это чаще всего следствие социальных потрясений. Они характерны, когда надламывается и повреждается традиция.
443520	456340	Именно в силу этого два периода в истории дали неимоверное количество тиранов. Первый – это период борьбы демократии с аристократиями в греческих полицах. Второй – эпоха итальянского возрождения.
456340	472340	Сословно представительная монархия является тоже одним из видов. Говоря о ней, мы можем сказать, что изучение, например, феодального общества невозможно без глубокого осмысления форм его государственного развития.
472340	489340	И любая социально-экономическая формация, в том числе и феодальная, представляет собой сложный общественный организм, в котором производственные отношения взаимодействуют со своей надстройкой в виде государства, права и идеологии, обретаясь их помощью плоти кровь.
489340	505420	Сословная монархия или феодальная монархия с сословным представительством является одной из известных феодализму форм государства, которая сложилась в условиях политической централизации.
505640	518920	Политическая эволюция государства на этом этапе обнаруживает такие своеобразные социальные структуры феодального общества, которые отличают характерные соединения не только классовых, но и сословных различий.
519340	522340	Такая форма монархии в истории встречается чаще всего.
523100	537880	Сословно-представительная монархия действует в сословных обществах и представляет собой принцип организации представительной власти, где действуют закрытые социальные группы, то бишь сословия, от которых избираются непосредственно депутаты.
537880	543600	В Западной Европе первые сословно-представительные монархии появились еще в XII веке.
544020	555220	Во многих государствах Европы эта монархия просуществовала вплоть до начала XX века, когда окончательно уступила место национальному представительству.
555220	565080	Точно так же в традиции Руси до монгольского нашествия князья являлись своеобразно обособленным сословием, отстраненным от аристократии.
565080	595060	Абсолютная монархия.
595080	599040	Если же они отсутствуют, то неизбежна монархия с бюрократией.
599520	603620	Франция в качестве бюрократического государства была лидером Западной Европы.
604280	608400	В XVII столетии она стала страной классического абсолютизма.
608980	612960	В настоящее время в мире сохраняется семь абсолютных монархий.
612960	621420	В таких государствах, как Бахрейн, Бруней, Катар, Пивейт, Объединенные Арабские Эмираты, Оман, Саудовская Аравия.
621420	629380	В последние десятилетия в некоторых из этих стран были проведены реформы, но и они пока не изменили абсолютного характера монархии.
630000	635700	Особую разновидность абсолютной монархии представляет абсолютная теократическая монархия.
635700	641760	Это особая форма организации государственной власти, при которой последняя принадлежит церковной иерархии.
642240	652100	Примером такой монархии является Ватикан, где законодательная, исполнительная и судебная власть принадлежит папе, пожизненно избираемому коллегой кардинала.
652800	657880	Ватикан – город-государство, которое расположено в Риме на холме Монте-Ватикана.
657880	665880	В России синонимами слова «абсолютизм» служили понятия «самодержавие», «самодержавная монархия».
665880	670060	Более трех веков складывались основные черты российского абсолютизма.
670620	680800	Самим самодержцем от его имени или по его поручению издавали законы, творился суд, пополнялись и расходовалась государственная казна.
680800	684620	В стране установилась единая налоговая система.
685140	690940	Монарх опирался на административный аппарат, который состоял из профессиональных чиновников.
691260	702920	Другими чертами российского абсолютизма стали полное закрепощение крестьянства, наличие постоянной армии и полиции, регламентация всей жизни общества и государства.
703260	710600	Абсолютизм рассматривался многими политическими мыслителями как наиболее современная форма правления.
710800	721700	Из-за неделимости верховной власти и ее постоянства иногда путают абсолютизм европейского типа с российским самодержавием.
721900	722820	Это не одно и то же.
723020	730520	Абсолютизм утверждает, что монарх стоит выше всякого права и закона, что ему все дозволено вплоть до уголовного преступления.
731160	736280	Самодержавие указывает на правовую, законную природу власти монарха.
736280	747080	Монарх – это часть правовой системы, и его полномочия устанавливаются законом, и он отвечает за свои действия только перед законом, Богом и своей совестью.
747480	759820	А смысл понятия самодержавия заключается в независимости монарха от чужой воли, от армии, гвардии, народного голосования, иностранных держав, финансовых кругов.
759820	765020	Что собой представляет современная конституционная монархия?
765600	776140	Конституционная или, по-другому, ограниченная монархия является особой разновидностью монархической формы правления, при которой власть монарха ограничена конституцией.
776720	781880	Имеется выборный законодательный орган – это парламент и независимые суды.
781880	790800	В зависимости от степени ограничения власти монарха конституции различают дуалистическую и парламентарную монархии.
791500	792960	Дуалистическая монархия.
793480	802900	В ряде стран Азии и Африки ограниченные монархии действуют в виде дуалистических монархий, например, в Марокко, в Иордании и в некоторых других странах.
802900	814680	Это первоначальная форма ограничений монархии, и здесь мы можем наблюдать уже возникающее или довольно развитое разделение властей.
815560	819400	Во всяком случае, отделение законодательной власти от исполнительной.
819960	828900	Отличие дуалистических монархий от парламентских состоит в сосредоточении в руках монарха больших полномочий в сфере государственной власти.
828900	835840	Дуалистическая монархия является исторически переходной формой от абсолютной монархии к парламентарной.
836240	838440	Власть монарха ограничена конституцией.
839000	848900	Законодательная власть принадлежит в принципе парламенту, который избирается подданными или определенной их частью, если избирательное право цензовое.
849360	856800	Исполнительная власть принадлежит монарху, который может осуществлять ее непосредственно или через назначаемое им правительство.
856800	862140	Судебная власть принадлежит монарху, но может быть более или менее независимой.
862600	866620	Однако разделение властей при данной форме правления обычно урезанное.
867500	872080	Хотя законы принимаются парламентом, монарх пользуется правом абсолютного вета.
872940	875960	Это так не позволяет закону вступить в силу.
875960	885720	Монарх в дуалистической монархии обладает неограниченным правом на издание указов, то есть может издавать чрезвычайные указы, имеющие силу закона.
886100	892220	А главное, может распускать парламент, заменяя фактически дуалистическую монархию абсолютной.
892580	903340	Например, в Иордании после распуска парламента в 1974 году очередные парламентские выборы состоялись лишь только в 1989 году.
