start	end	text
0	6360	добрый день уважаемые студенты тема нашей шестой лекции экономическое положение
6360	11520	великобритании какие вопросы мы будем сегодня рассматривать первый вопрос экономическое
11520	18720	положение великобритании колонии промышленность 2 рассвет британской империи третий вопрос причины
18720	24760	упадков промышленности в девятнадцатом начале двадцатого века четвертое развитие экономического
24760	30820	потенциала и технической мысли не консерватизм 5 состояние промышленности на современном этапе
30820	37420	и новое в производстве шестой вопрос образование европейского союза и отношения к нему разных
37420	43120	слоев населения переход к единой европейской валюте выход великобритании из европейского
43120	49840	союза и седьмой вопрос в седьмом вопросе мы поговорим с вами о лауреатах нобелевской премии
49840	56860	великобритании достижения и прогресс что касается шестого и седьмого вопроса то по шестому вопросу вам
56860	64780	будет предложен видеоролик в котором будет рассказано об образовании европейского союза и о том как
64780	74440	британия выходит из этого союза по седьмому вопросу что касаемо лауреатов нобелевской премии то вам
74440	81520	будет предложен полный список лауреатов и вкратце я расскажу об истории создания этой премии итак
81520	88120	первый вопрос экономическое положение великобритании колонии промышленности в семнадцатом веке в западной
88120	93220	европе еще продолжали господствовать феодальное отношение но переход к капиталистическому хозяйству
93220	100000	был предопределен зарождаются буржуазные экономические отношения бурный рост промышленности и конкуренция
100000	106300	промышленная революция в англии рост экономического и политического значения буржуазии подчинение
106300	112840	деревне городом усиление антифеодального движения полная замена связи между людьми денежными
112840	119320	отношениями распространение просветительных идей равенства и свободы англия продолжала оставаться
119320	125440	сельскохозяйственной страной после буржуазной революции середина семнадцатого века процесс вытеснения
125440	131200	мелкого и среднего крестьянского хозяйства крупной земельной собственностью привел к тому что к
131200	137020	середине восемнадцатого века крестьянство как класс ушло с исторической арены в результате этого
137020	143140	произошло перераспределение земельной собственности рост крупного землевладения в развитии
143140	150700	капиталистического фермерства 60-е годы 18 века в великобритании раньше чем других странах
150700	156880	начался промышленный переворот одно из предпосылок промышленного переворота стало значительное
156880	164620	накопление капитала которая проходила различными путями в том числе и посредством роста государственного
164620	171480	долга а следовательно и роста налогового обложения причем крупный капитал концентрировался в руках
171480	177040	небольшого количества людей которые были способны предоставить государству средства для ведения войны
177040	183400	накопление капитала происходило благодаря быстрому развитию торговли а также открытому
183400	189520	ограблению индии важными факторами процесса накопления капитала явились окончательное уничтожение
189520	195880	класса крестьянства и полный переход сельского хозяйства на капиталистический путь числу важнейших
195880	203380	предпосылок промышленного переворота относится английская буржуазии английская буржуазная революция
203380	210460	устранившая препятствия для развития капиталистических отношений она открыла путь для быстрого роста
210460	216460	производительных сил утвердила буржуазную собственность на землю дала мощный толчок аграрному
216460	222320	перевороту и ускорила образование национального рынка произошел переход от средневековой феодальной
222320	227380	монархии монархии буржуазной сложившийся политический союз земельной и финансовой аристократии
227380	235900	был долговременным и сравнительно прочным этот союз превратившийся в дальнейшем союз землевладельцев
235900	241900	и всего класса буржуазии обеспечивал относительную устойчивость английской монархии при этом аристократия
241900	248900	сохранив монополию политической власти учитывала интересы буржуазии важным фактором стимулировавшим
248900	254460	промышленную революцию в англию была иностранная конкуренция в частности в этот период англия испытывала
254460	259860	определенные трудности в сбыте на мировом рынке своего металла и хлопчатобумажных тканей где
259860	267360	серьезную конкуренцию есть составляли россия швеция и индия с ее традиционно качественными и ярко
267360	273680	окрашенными естественными красителями ситцами победить конкурентов можно было только при условии
273680	279640	налаживания фабричного производства и выпуска более дешевой и качественной а значит и более
