start	end	text
0	9640	Лондон напоминает дом, в котором пять тысяч комнат. Непередаваемое удовольствие переходить
9640	16440	из помещения в помещение, открывать одну комнату за другой и, наконец, осмотреть их все. Так
16440	21480	описал этот город один из его жителей, современный английский писатель пакистанского происхождения
21480	27600	Ханиф Курейши. Столица Великобритании – одна из самых больших туристических
27600	32280	достопримечательностей Европы. Каждый год здесь бывает около 30 миллионов гостей.
43240	49480	Главный город Англии – это один из пиков современной цивилизации. В Лондоне и пригородах
49480	54960	проживает около 15 миллионов человек. Здесь производится одна пятая общего национального
54960	61280	дохода Великобритании. В Сити располагаются главные офисы крупнейших банков, страховых
61280	67520	обществ, инвестиционных фондов, мировых корпораций и самая большая в Европе биржа ценных бумаг.
67520	76740	Лондон – хранитель огромного исторического и культурного наследия. Он богат шедеврами архитектуры,
76740	83320	великолепными галереями, музеями и театрами с мировым именем. Наконец, Лондон – удивительная
83320	89640	современная метрополия, где в бурлящем потоке жизни перемешано множество национальных традиций и религий.
89640	91640	Редактор субтитров А.Семкин Корректор А.Егорова
119640	140520	У Лондона есть и свои отрицательные стороны. Об одной из них можно сказать с уверенностью – это
140520	145540	климат. От тумана и дождя мы прячемся в музее Лондона. Его стоит посетить,
145540	149780	чтобы проследить историю города с незапамятных времен до наших дней.
153860	159540	Второе по величине после Москвы город Европы возник по некоторым данным как кельтское поселение.
159540	166900	В 43 году н.э. им завладели римляне во главе с императором Клавдием. Над Темзой был построен мост,
167200	174020	и на ее северном берегу возникли жилые кварталы. Место назвали Ландиниум. Есть несколько версий
174020	179680	этимологии этого названия. Возможно, оно произошло от кельтских слов «озеро» и «укрепление».
179680	186400	Уже к сотому году н.э. город стал значимым торговым пунктом Римской Британии с населением 60 тысяч человек.
187020	193760	После ухода римлян в V веке город постепенно заселяли бритты. Наступали беспокойные времена.
194460	199240	В IX веке Люнденбург, так он назывался в то время, подвергся нападению викингов,
199240	206120	чье господство длилось 20 лет. Но в 886 году Альфред Великий вернул город Англосаксом.
207180	213080	В средние века Лондон уже был среди самых крупных городов Европы и делился на две основные части –
213080	216680	административно-политическую Вестминстер и коммерческую Сити.
217360	223240	В XIX веке, в эпоху стремительной индустриализации и урбанизации, город стал крупнейшим в мире.
223560	225540	Его население возросло в шесть раз.
225540	230860	В истории Лондона было две катастрофы, недолго тормозивших его стремительное развитие.
231140	237340	В 1665 году в город пришла великая чума, которая унесла жизни почти 100 тысяч жителей.
238000	243540	А год спустя столицу Англии опустошил Великий Лондонский пожар, уничтоживший большую часть застройки.
245840	249340	Значение Лондона росло вместе с усилением могущества Англии,
249380	254140	как торговой, промышленной и морской державы, первой в Европе, а затем и в мире.
254140	258620	Во времена королевы Виктории столица империи процветала,
258780	261820	улучшались условия жизни беднейших слоев общества.
262300	266880	Однако, с другой стороны, резкий приток населения спровоцировал общественное напряжение,
267200	269620	серьезные жилищные и санитарные проблемы.
270580	274640	Условия работы на фабриках тоже способствовали росту недовольства в массах.
274960	279580	Со временем, однако, благо цивилизации стали доступны даже самым бедным слоям населения.
279580	284760	В 1900 году население Лондона составляло 6 миллионов человек.
286600	289580	Вот экипаж, достойный правителя столицы.
290580	295120	Карета Лорда Мейджора используется с 1757 года по сей день.
295560	298360	Правда, обычно она появляется на улицах только раз в году,
298640	300820	во время традиционного праздничного парада.
300820	316600	Остатки городской стены.
316760	319260	Когда-то они были границей лондонского сити.
319260	322400	В 18 веке большую часть стены сломали,
322740	325360	разрастающийся город требовал новых территорий.
325360	332080	Вестминстер – часть города, где слава и могущество Старой Англии
332080	334060	представлены во всем великолепии.
336220	338900	Вестминстерское аббатство – это культовый комплекс
