start	end	text
0	13200	Добрый день, уважаемые студенты! С сегодняшнего дня вы будете слушать новый предмет, который называется «Лингвострановедение и страноведение».
13200	18000	Этот предмет входит в программу дополнительного образования «Иностранный язык».
18000	40960	По этому предмету у нас с вами будет 10 лекций, которые вы прослушаете вместе с презентациями. И конечный итог, к которому мы с вами должны прийти, чтобы получить зачет, это будут ваши конспекты по данным лекциям, реферат на одну из предложенных тем, или вы можете выбрать тему свою по собственному желанию.
40960	49200	И последний момент для зачета – это тест. Что мы с вами будем проходить в этом курсе?
49400	58860	Ну, так как мы изучаем с вами английский язык, то, естественно, изучать язык, не зная ничего о стране, это невозможно. Вот для этого и существует наш курс.
58860	75920	В этом курсе вы прослушаете цикл лекций, начиная с географического положения страны и заканчивая традициями, обычаями и праздниками, которые типичны для британской культуры.
75920	88260	Вы узнаете об истории Соединенного Королевства, получите сведения о политическом строе, также будет рассказано об экономическом положении Великобритании.
88980	100220	Целая лекция будет посвящена системе образования Великобритании, где вы узнаете о начальном, среднем и высшем образовании, что, я думаю, вам будет небезинтересно узнать.
100220	112000	Итак, первая тема и первая лекция, которую мы с вами сегодня прослушаем, посвящена географическому положению и природным условиям страны, изучаемого языка.
112760	114300	Каков план лекции?
114500	118680	Первое, что мы рассмотрим, это будет общая характеристика Соединенного Королевства.
118680	131780	Затем мы поговорим с вами о населении страны, о экономике на сегодняшний момент, природные ископаемые, которыми богата страна.
132280	134940	Будет сказано о промышленности и сельском хозяйстве.
135560	142100	И последние вопросы, которые мы с вами будем освещать, это заповедники, национальные, региональные парки.
142100	148300	А также один из пунктов будет посвящен проблемам охраны окружающей среды.
148840	153960	Итак, первый вопрос нашей лекции – это общая характеристика Соединенного Королевства.
154440	160700	Соединенное Королевство Великобритании и Северной Ирландии – это государство, которое располагается в Западной Европе.
161540	170140	Расположено на Британских островах и отделено от материковой Европы и Северным морем, проливом Падоколе и проливом Ла-Манш.
170140	174480	Обособленное положение повлияло на историческое развитие страны.
175060	182440	В состав Соединенного Королевства входит Англия, Шотландия, Уэллс, который находится на самом крупном острове Великобритании,
182920	189220	и Северная Ирландия, которая занимает северную часть второго по величине острова Ирландии.
189220	196260	Остров Мэн расположен в Ирландском море между двумя упомянутыми островами,
196760	201420	и Нормандские острова образуют самостоятельные административные единицы.
202080	208040	Общая площадь страны составляет 244 тысячи квадратных километров.
209040	216060	Сокращенно страну называют Соединенным Королевством, а также Великобританием или просто Британией.
216060	218680	Глава государства, королева Елизавета II.
219140	226020	Теперь мы с вами рассмотрим и дадим общую характеристику каждой из четырех частей Соединенного Королевства.
226020	234160	Англия состоит в основном из холмистой или ровно-низинной местности,
234660	238360	разбавленной несколькими горными зонами на севере и юго-востоке.
238780	244280	Но низкие холмы простираются через большую часть страны, перемежаясь с низинными землями и равнинами.
244280	251720	Население концентрируется в основном вокруг крупных городов Лондона и, в частности, Лондона,
252400	256880	западных городов Бирмингема, Лидс, Брэдфорда и Шеффилда,
257440	264860	а также промышленных центров Ливерпуля и Манчестера и северо-восточный город Нью-Касл.
265100	269060	Покровитель страны Святой Георгий, символ красная и белая роза,
269060	273580	красная роза, эмблема ланкастеров и белая роза, эмблема йорков.
274580	280140	Уэллс. Уэллс представляет собой горную страну с простирающимися через всю территорию горами и холмами,
280620	285260	часто обрывающимися в глубокие долины, которые созданы руслами рек.
285380	289980	Эти горы постепенно снижаются и переходят в высокие холмы на востоке Англии.
290420	293480	Самые высокие горы Уэллса расположены на севере-западе,
293560	298180	где гора Сноудон достигает 1085 метров в высоту.
